GFSA.SCS04G131154,2011.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Int'l Trade and Transactions",Taxes on international trade and transactions,Exchange profits,,
GFSA.SCS02G05Z623015,2014.06,22942,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Financial Assets",Financial assets,Shares and other equity,,
GFSA.SCS02G093021,2009.06,96,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Liabilities",Insurance liabilities,,,
GFSA.SCS04G14112,2011.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Payroll and Workforce",Taxes on payroll and workforce,,,
GFSA.SCS05G06Z616113K,2019.06,1673,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Other fixed assets,Depreciation
GFSA.SCS05G06Z616111A,2017.06,4625,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,Additions
GFSA.SCS04G121145,2013.06,2885,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Goods and Services",Taxes on goods and services,"Taxes on use of goods, permission to use goods",,
GFSA.SCS01G03982,2019.06,6061,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Other current transfers,,,
GFSA.SCS03G03707,2015.06,16741,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Operating Expenses",Health,,,
GFSA.SCS03G00Z00704,2016.06,6153,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Total Expenses",Total,Economic affairs,,
GFSA.SCS03G04702,2012.06,568,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Defence,,,
GFSA.SCS04G101112,2012.06,10245,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Income, Profits and Capital Gains","Taxes on income, profits, and capital gains",Payable by corporations,,
GFSA.SCS01G02142,2009.06,3834,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,
GFSA.SCS05G08Z61613A,2017.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Valuables",Non-financial assets,Valuables,Additions,
GFSA.SCS04G131150,2009.06,1937,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Int'l Trade and Transactions",Taxes on international trade and transactions,Total,,
GFSA.SCS02G093012,2010.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Liabilities",Cash,,,
GFSA.SCS05G00Z61699D,2012.06,879,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Total excl Inventories",Non-financial assets,Non-financial assets excluding inventories,Disposals,
GFSA.SCS02G08Z61613,2010.06,4,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Valuables",Non-financial assets,Valuables,,
GFSA.SCS05G06Z616112K,2009.06,694,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Machinery and equipment,Depreciation
GFSA.SCS03G04704,2012.06,668,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Economic affairs,,,
GFSA.SCS03G04705,2018.06,37,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Environmental protection,,,
GFSA.SCS02G00Z63Z99,2018.06,300007,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Total Assets and Non-financial Assets",Assets,Total,,
GFSA.SCS03G04709,2019.06,529,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Education,,,
GFSA.SCS05G07Z616144O,2015.06,36,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Non-produced Assets",Non-financial assets,Non-produced assets,Intangible non-produced assets,Other economic flows
GFSA.SCS05G07Z616144K,2010.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Non-produced Assets",Non-financial assets,Non-produced assets,Intangible non-produced assets,Depreciation
GFSA.SCS01G03Z99,2015.06,80544,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Total,,,
GFSA.SCS04G121146,2014.06,239,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Goods and Services",Taxes on goods and services,Other taxes on goods and services,,
GFSA.SCS04G131153,2016.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Int'l Trade and Transactions",Taxes on international trade and transactions,Profits of export or import monopolies,,
GFSA.SCS04G111131,2018.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Property",Taxes on property,Recurrent taxes on immovable property,,
GFSA.SCS02G05Z623017,2014.06,33023,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,
GFSA.SCS04G131150,2010.06,1928,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Int'l Trade and Transactions",Taxes on international trade and transactions,Total,,
GFSA.SCS05G06Z616113D,2019.06,196,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Other fixed assets,Disposals
GFSA.SCS02G06Z616112,2017.06,3163,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Machinery and equipment,
GFSA.SCS04G121146,2016.06,257,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Goods and Services",Taxes on goods and services,Other taxes on goods and services,,
GFSA.SCS05G08Z61613A,2019.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Valuables",Non-financial assets,Valuables,Additions,
GFSA.SCS01G04K00,2011.06,3951,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Acquisition of Non-financial Assets",Depreciation,,,
GFSA.SCS03G00Z00705,2017.06,728,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Total Expenses",Total,Environmental protection,,
GFSA.SCS02G08Z61613,2015.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Valuables",Non-financial assets,Valuables,,
GFSA.SCS01G03992,2010.06,531,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Other capital transfers,,,
GFSA.SCS03G00Z00702,2013.06,2137,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Total Expenses",Total,Defence,,
GFSA.SCS05G06Z616111A,2013.06,3166,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,Additions
GFSA.SCS01G03981,2016.06,1328,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Expenses",Current grants,,,
GFSA.SCS01G04Z94,2012.06,-87,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Acquisition of Non-financial Assets",Change in inventories,,,
GFSA.SCS02G05Z623017,2017.06,43900,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,
GFSA.SCS01G02981,2018.06,289,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,
GFSA.SCS01G04611,2012.06,5090,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Acquisition of Non-financial Assets",Fixed assets,,,
GFSA.SCS05G00Z61699A,2018.06,9156,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Total excl Inventories",Non-financial assets,Non-financial assets excluding inventories,Additions,
GFSA.SCS03G04710,2013.06,81,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Social protection,,,
GFSA.SCS05G06Z616112K,2019.06,739,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Machinery and equipment,Depreciation
GFSA.SCS04G111131,2012.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Property",Taxes on property,Recurrent taxes on immovable property,,
GFSA.SCS03G00Z00706,2012.06,1221,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Total Expenses",Total,Housing and community amenities,,
GFSA.SCS04G111130,2012.06,0,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Property",Taxes on property,Total,,
GFSA.SCS05G06Z616114Z,2014.06,2891,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Non-financial Assets Reconciliation, Fixed Assets",Non-financial assets,Fixed assets,Weapons systems,Total
GFSA.SCS04G111132,2016.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Property",Taxes on property,Recurrent taxes on net worth,,
GFSA.SCS04G111136,2019.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Taxation Revenue, Taxes on Property",Taxes on property,Other recurrent taxes on property,,
